1000001,MSE.ENGMGT,2017FA
1000004,MSE.EE,2016FA
1000006,MSE.ECE,2016SU
1000007,MSE.ECE,2017SP
1000010,MSE.CE,2017SP
1000011,MSE.EE,2017SU
1000015,MSE.ME,2016SU
1000017,MSE.EE,2016SU
1000018,MSE.ME,2016SU
1000019,MSE.ME,2017SP
1000020,MSCS.SFTW.ENG,2019SP
1000021,MSE.CE,2017SP
1000022,MSCS.SFTW.ENG,2019SP
1000023,MSCS.SFTW.ENG,2019SP
1000024,MSCS.SFTW.ENG,2019SP
1000025,MSCS.SFTW.ENG,2019SP
1000026,MSE.ENGMGT,2016SU
1000027,MSE.ECE,2017SU
1000029,MSE.ENGMGT,2016SU
1000033,MSE.ECE,2016SU
1000038,MSCS.SFTW.ENG,2016SU
1000039,MSE.ENGMGT,2017SU
1000042,MSCS.SFTW.ENG,2016SU
1000044,MSE.ME,2016SU
1000045,MSE.ECE,2016FA
1000047,MSE.ENGMGT,2016SU
1000048,MSE.ENGMGT,2016FA
1000049,MSE.ECE,2016SU
1000058,MSE.ECE,2016SU
1000059,MSE.ENGMGT,2016FA
1000060,MSE.ECE,2016SU
1000061,MSE.ECE,2016SU
1000064,MSE.ENGMGT,2016FA
1000066,MSE.ECE,2016FA
1000068,MSCS.SFTW.ENG,2016SU
1000069,MSE.ENGMGT,2016SU
1000070,MSE.ECE,2016SU
1000072,MSE.ENGMGT,2016SU
1000073,MSCS.SFTW.ENG,2016SU
1000081,MSE.ECE,2016FA
1000086,MSE.ECE,2016FA
1000087,MSE.ENGMGT,2016SU
1000088,MSE.ECE,2016FA
1000089,MSE.ENGMGT,2016SU
1000090,MSE.ENGMGT,2016FA
1000091,MSE.ENGMGT,2016FA
1000092,MSE.ENGMGT,2016FA
1000095,MSE.ENGMGT,2016FA
1000096,MSE.ENGMGT,2016FA
1000100,MSE.ENGMGT,2016FA
1000103,MSE.ENGMGT,2016SU
1000104,MSCS.SFTW.ENG,2016SU
1000105,MSE.ENGMGT,2016SU
1000106,MSCS.SFTW.ENG,2016SU
1000107,MSCS.SFTW.ENG,2016SU
1000108,MSCS.SFTW.ENG,2016SU
1000109,MSE.ENGMGT,2016SU
1000110,MSE.ENGMGT,2017SP
1000111,MSCS.SFTW.ENG,2016FA
1000112,MSCS.SFTW.ENG,2016SU
1000113,MSE.ME,2016SU
1000114,MSE.ECE,2016FA
1000115,MSCS.SFTW.ENG,2016SU
1000116,MSE.ENGMGT,2016SU
1000117,MSCS.SFTW.ENG,2016SU
1000118,MSCS.SFTW.ENG,2016SU
1000119,MSE.ENGMGT,2017SU
1000120,MSE.ECE,2016SU
1000121,MSCS.SFTW.ENG,2016SU
1000122,MSCS.SFTW.ENG,2016SU
1000124,MSCS.SFTW.ENG,2016SU
1000125,MSE.ENGMGT,2016SU
1000126,MSCS.SFTW.ENG,2016SU
1000127,MSE.ME,2016FA
1000129,MSCS.SFTW.ENG,2016SU
1000130,MSE.ENGMGT,2016SU
1000131,MSCS.SFTW.ENG,2016SU
1000133,MSE.CE,2017SP
1000134,MSE.ME,2016SU
1000135,MSCS.SFTW.ENG,2016FA
1000136,MSE.ECE,2016SU
1000137,MSCS.SFTW.ENG,2016SU
1000140,MSCS.SFTW.ENG,2016SU
1000141,MSCS.SFTW.ENG,2016SU
1000142,MSE.ENGMGT,2016SU
1000143,MSE.ENGMGT,2016SU
1000144,MSCS.SFTW.ENG,2016SU
1000145,MSE.ENGMGT,2016SU
1000146,MSE.ECE,2016FA
1000147,MSE.ENGMGT,2016FA
1000148,MSE.ENGMGT,2017SP
1000149,MSCS.SFTW.ENG,2016SU
1000150,MSCS.SFTW.ENG,2016SU
1000151,MSCS.SFTW.ENG,2016SU
1000152,MSE.ECE,2016FA
1000153,MSE.ENGMGT,2016SU
1000154,MSE.ENGMGT,2016SU
1000155,MSCS.SFTW.ENG,2016SU
1000156,MSE.ENGMGT,2016SU
1000157,MSE.ENGMGT,2016FA
1000158,MSCS.SFTW.ENG,2016SU
1000159,MSCS.SFTW.ENG,2016SU
1000160,MSE.ENGMGT,2016SU
1000161,MSCS.SFTW.ENG,2016SU
1000162,MSE.CE,2016FA
1000163,MSCS.SFTW.ENG,2016FA
1000164,MSCS.SFTW.ENG,2016SU
1000165,MSE.CE,2016FA
1000166,MSCS.SFTW.ENG,2016SU
1000167,MSCS.SFTW.ENG,2016SU
1000168,MSCS.SFTW.ENG,2016SU
1000169,MSCS.SFTW.ENG,2016SU
1000170,MSCS.SFTW.ENG,2016SU
1000171,MSE.ENGMGT,2016SU
1000172,MSE.ME,2017SU
1000173,MSCS.SFTW.ENG,2016SU
1000174,MSE.CE,2017SU
1000175,MSE.ENGMGT,2016SU
1000176,MSCS.SFTW.ENG,2016SU
1000177,MSCS.SFTW.ENG,2016SU
1000178,MSCS.SFTW.ENG,2016FA
1000179,MSCS.SFTW.ENG,2016SU
1000180,MSCS.SFTW.ENG,2016SU
1000181,MSCS.SFTW.ENG,2016SU
1000182,MSE.CE,2016FA
1000183,MSE.CE,2016SU
1000184,MSCS.SFTW.ENG,2016FA
1000185,MSCS.SFTW.ENG,2016SU
1000186,MSE.ENGMGT,2016SU
1000187,MSCS.SFTW.ENG,2016FA
1000188,MSCS.SFTW.ENG,2016SU
1000189,MSE.CE,2017SP
1000190,MSE.ENGMGT,2016FA
1000191,MSE.CE,2016FA
1000192,MSE.ENGMGT,2016SU
1000193,MSE.CE,2016FA
1000194,MSCS.SFTW.ENG,2016FA
1000195,MSE.SFTW.ENG,2016FA
1000196,MSCS.SFTW.ENG,2016FA
1000197,MSCS.SFTW.ENG,2016SU
1000198,MSCS.SFTW.ENG,2016SU
1000199,MSCS.SFTW.ENG,2016FA
1000200,MSE.CE,2016FA
1000201,MSCS.SFTW.ENG,2016FA
1000202,MSE.CE,2016FA
1000203,MSCS.SFTW.ENG,2016SU
1000204,MSE.CE,2016FA
1000205,MSE.CE,2016FA
1000206,MSE.CE,2016FA
1000207,MSE.CE,2016FA
1000208,MSCS.SFTW.ENG,2017SU
1000209,MSE.ENGMGT,2016SU
1000210,MSCS.SFTW.ENG,2016FA
1000211,MSE.CE,2016FA
1000212,MSE.EE,2018SP
1000213,MSE.CE,2016FA
1000214,MSCS.SFTW.ENG,2016FA
1000215,MSE.ENGMGT,2016FA
1000216,MSE.CE,2016FA
1000217,MSE.CE,2016FA
1000218,MSCS.SFTW.ENG,2016FA
1000219,MSE.CE,2016FA
1000220,MSE.CE,2017SU
1000221,MSE.CE,2016FA
1000222,MSE.ENGMGT,2016FA
1000223,MSE.ENGMGT,2017SP
1000224,MSE.SFTW.ENG,2016FA
1000225,MSE.CE,2016FA
1000226,MSCS.SFTW.ENG,2016FA
1000227,MSCS.SFTW.ENG,2016FA
1000228,MSCS.SFTW.ENG,2017SP
1000229,MSCS.SFTW.ENG,2016FA
1000230,MSE.CE,2017SU
1000231,MSCS.SFTW.ENG,2016FA
1000232,MSE.ENGMGT,2016FA
1000233,MSE.EE,2016FA
1000234,MSE.ENGMGT,2016SU
1000235,MSE.ENGMGT,2016FA
1000236,MSCS.SFTW.ENG,2016FA
1000237,MSCS.SFTW.ENG,2019FA
1000238,MSE.ENGMGT,2016FA
1000239,MSE.ENGMGT,2016FA
1000240,MSE.EE,2016FA
1000241,MSE.ENGMGT,2016FA
1000242,MSE.CE,2016FA
1000243,MSCS.SFTW.ENG,2016FA
1000244,MSE.ENGMGT,2016FA
1000245,MSE.ENGMGT,2016FA
1000246,MSE.ME,2016FA
1000247,MSE.ENGMGT,2016FA
1000248,MSE.ENGMGT,2016FA
1000249,MSE.ENGMGT,2016FA
1000250,MSCS.SFTW.ENG,2016FA
1000251,MSE.SFTW.ENG,2016FA
1000252,MSCS.SFTW.ENG,2016FA
1000253,MSCS.SFTW.ENG,2016FA
1000254,MSCS.SFTW.ENG,2016FA
1000255,MSE.ENGMGT,2016FA
1000256,MSCS.SFTW.ENG,2016FA
1000257,MSCS.SFTW.ENG,2016FA
1000258,MSE.ME,2016FA
1000259,MSE.SFTW.ENG,2016FA
1000260,MSCS.SFTW.ENG,2017SP
1000261,MSE.ENGMGT,2016FA
1000262,MSE.SFTW.ENG,2016FA
1000263,MSE.ENGMGT,2016FA
1000264,MSCS.SFTW.ENG,2016FA
1000265,MSCS.SFTW.ENG,2016FA
1000266,MSE.SFTW.ENG,2016FA
1000267,MSCS.SFTW.ENG,2017SU
1000268,MSE.EE,2016FA
1000269,MSCS.SFTW.ENG,2016FA
1000270,MSCS.SFTW.ENG,2017FA
1000271,MSCS.SFTW.ENG,2017SU
1000272,MSCS.SFTW.ENG,2017SU
1000273,MSE.CE,2017FA
1000274,MSE.CE,2016FA
1000275,MSE.ENGMGT,2016FA
1000276,MSE.ENGMGT,2016FA
1000277,MSCS.SFTW.ENG,2017SU
1000278,MSE.SFTW.ENG,2016FA
1000279,MSE.ENGMGT,2016FA
1000280,MSE.ENGMGT,2016FA
1000281,MSE.ENGMGT,2016FA
1000282,MSE.SFTW.ENG,2016FA
1000283,MSE.EE,2016FA
1000284,MSE.ENGMGT,2016FA
1000285,MSE.ENGMGT,2016FA
1000286,MSE.ENGMGT,2016FA
1000287,MSE.ENGMGT,2015FA
1000288,MSE.ENGMGT,2017SP
1000289,MSE.ME,2017SP
1000290,MSE.ENGMGT,2017SP
1000291,MSE.EE,2017SP
1000292,MSE.CE,2017SP
1000293,MSE.ME,2017SP
1000294,"MSE.ECE, MSE.ENGMGT",2018SU
1000295,MSE.ME,2016SU
1000296,MSE.EE,2017FA
1000297,MSE.EE,2017FA
1000298,MSE.ENGMGT,2017SP
1000299,MSE.CE,2017SP
1000300,MSE.SFTW.ENG,2016FA
1000301,MSE.SFTW.ENG,2017SP
1000302,MSE.ME,2017SP
1000303,MSE.ME,2017SP
1000304,MSE.EE,2016FA
1000305,MSE.SFTW.ENG,2017SP
1000306,MSE.ME,2017SP
1000307,MSE.EE,2017SU
1000308,MSE.ME,2016FA
1000309,MSCS.SFTW.ENG,2019SP
1000310,MSE.EE,2017SP
1000311,MSE.CE,2017SP
1000312,MSE.SFTW.ENG,2017SP
