1000001,ENGR 5203,SYSTEMS ENGINEERING,2016SP,A
1000001,ENGR 5213,TOOLS OF OPERATIONS RESEARCH,2016SU,CIP
1000001,ENGR 5223,SYSTEMS ENGINEERING MANAGEMENT,2016SU,CIP
1000001,ENGR 5323,FAIL ANLYS ENG SYSTEMS,2016SP,A
1000004,ELEC 5123,DIGITAL COMMUNICATIONS,2016SU,CIP
1000004,ELEC 5323,ELECTRONIC DEVICES,2016SU,CIP
1000004,ENGR 5003,FOUN OF TECH ETHICS & VALUES,2015FA,A
1000004,ENGR 5103,INNOVATION AND INVENTION,2015FA,A
1000004,ENGR 5113,RANDOM VARIABLES & STOCHASTIC,2016SP,A
1000004,ENGR 5203,SYSTEMS ENGINEERING,2016SP,A
1000004,ENGR 5213,TOOLS OF OPERATIONS RESEARCH,2016SP,A
1000004,ENGR 5223,SYSTEMS ENGINEERING MANAGEMENT,2016SP,A
1000004,ENGR 5323,FAIL ANLYS ENG SYSTEMS,2016SU,CIP
1000004,ENGR 5793,MSE CAPSTONE,2016FA,CIP
1000006,ELEC 5123,DIGITAL COMMUNICATIONS,2016SU,CIP
1000006,ELEC 5323,ELECTRONIC DEVICES,2016SU,CIP
1000006,ELEC 5813,SS: SENSING WITH SIGNALS,2015SP,A
1000006,ENGR 5003,FOUN OF ENGR ETHICS & VALUES,2015FA,A
1000006,ENGR 5113,RANDOM VARIABLES & STOCHASTIC,2015SU,A
1000006,ENGR 5203,SYSTEMS ENGINEERING,2014FA,A
1000006,ENGR 5213,TOOLS OF OPERATIONS RESEARCH,2015FA,A
1000006,ENGR 5223,SYSTEMS ENGINEERING MANAGEMENT,2014FA,A
1000006,ENGR 5323,FAIL ANLYS ENG SYSTEMS,2015SU,A
1000006,ENGR 5793,MSE CAPSTONE,2016SP,A
1000006,ENGR 5913,"LEVELING FOR ENGR-5013, GR ENG",2015FA,P*
1000007,CENG 5233,ADVANCED COMPUTER ARCHITECTURE,2016SP,A
1000007,CENG 5613,OBJECT-ORIENTED SOFTWARE ENGR,2015FA,A
1000007,CENG 5623,SOFTWARE ENGR/ TRUST SOFTWARE,2016SP,A
1000007,ENGR 5003,FOUN OF ENGR ETHICS & VALUES,2015SP,A
1000007,ENGR 5113,RANDOM VARIABLES & STOCHASTIC,2015FA,A
1000007,ENGR 5203,SYSTEMS ENGINEERING,2015SU,A
1000007,ENGR 5213,TOOLS OF OPERATIONS RESEARCH,2015SP,A
1000007,ENGR 5223,SYSTEMS ENGINEERING MANAGEMENT,2015SU,A
1000007,ENGR 5323,FAIL ANLYS ENG SYSTEMS,2016SU,CIP
1000007,ENGR 5793,MSE CAPSTONE,2016SU,CIP
1000010,CENG 5613,OBJECT-ORIENTED SOFTWARE ENGR,2016FA,CIP
1000010,ENGR 5003,FOUN OF TECH ETHICS & VALUES,2016SP,A
1000010,ENGR 5113,RANDOM VARIABLES & STOCHASTIC,2016SU,CIP
1000010,ENGR 5203,SYSTEMS ENGINEERING,2016SU,CIP
1000010,ENGR 5223,SYSTEMS ENGINEERING MANAGEMENT,2016FA,CIP
1000010,ENGR 5913,"LEVELING FOR ENGR-5013, GR ENG",2016SP,P*
1000011,ELEC 5323,ELECTRONIC DEVICES,2016SU,CIP
1000011,ENGR 5003,FOUN OF TECH ETHICS & VALUES,2016SP,A
1000011,ENGR 5113,RANDOM VARIABLES & STOCHASTIC,2016SP,A
1000011,ENGR 5213,TOOLS OF OPERATIONS RESEARCH,2016SU,CIP
1000011,ENGR 5913,"LEVELING FOR ENGR-5013, GR ENG",2016SP,P*
1000015,ENGR 5003,FOUN OF TECH ETHICS & VALUES,2015FA,A
1000015,ENGR 5113,RANDOM VARIABLES & STOCHASTIC,2015FA,A
1000015,ENGR 5203,SYSTEMS ENGINEERING,2016SP,A
1000015,ENGR 5213,TOOLS OF OPERATIONS RESEARCH,2016SP,A
1000015,ENGR 5223,SYSTEMS ENGINEERING MANAGEMENT,2016SU,CIP
1000015,ENGR 5323,FAIL ANLYS ENG SYSTEMS,2016SP,A
1000015,ENGR 5793,MSE CAPSTONE,2016SU,CIP
1000015,ENGR 5913,"LEVELING FOR ENGR-5013, GR ENG",2016SP,P*
1000015,MECH 5113,MECH APP PARTIAL DIFF EQU,2015FA,A
1000015,MECH 5623,ADV ENGINEERING MATERIALS,2015SP,B
1000015,MECH 5813,SS: FINITE DIFFERENCE METHODS,2016SP,C
1000017,CENG 5613,OBJECT-ORIENTED SOFTWARE ENGR,2014FA,A
1000017,ELEC 5383,POWER SYSTEM ANALYSIS,2015FA,A
1000017,ENGR 5003,FOUN OF ENGR ETHICS & VALUES,2015FA,A
1000017,ENGR 5103,INNOVATION AND INVENTION,2016SP,A
1000017,ENGR 5113,RANDOM VARIABLES & STOCHASTIC,2015SP,A
1000017,ENGR 5203,SYSTEMS ENGINEERING,2015FA,A
1000017,ENGR 5213,TOOLS OF OPERATIONS RESEARCH,2016SP,A
1000017,ENGR 5223,SYSTEMS ENGINEERING MANAGEMENT,2015FA,A
1000017,ENGR 5323,FAIL ANLYS ENG SYSTEMS,2016SP,A
1000017,ENGR 5793,MSE CAPSTONE,2016SU,CIP
1000017,ENGR 5821,ENGINEERING PRACTICUM,2015FA,CIP
1000017,ENGR 5913,"LEVELING FOR ENGR-5013, GR ENG",2016SP,P*
1000018,ENGR 5003,FOUN OF TECH ETHICS & VALUES,2015FA,A
1000018,ENGR 5103,INNOVATION AND INVENTION,2016SU,CIP
1000018,ENGR 5113,RANDOM VARIABLES & STOCHASTIC,2015FA,A
1000018,ENGR 5203,SYSTEMS ENGINEERING,2015FA,A
1000018,ENGR 5213,TOOLS OF OPERATIONS RESEARCH,2016SP,A
1000018,ENGR 5223,SYSTEMS ENGINEERING MANAGEMENT,2016SP,B
1000018,ENGR 5323,FAIL ANLYS ENG SYSTEMS,2015FA,A
1000018,ENGR 5793,MSE CAPSTONE,2016SU,CIP
1000018,ENGR 5913,"LEVELING FOR ENGR-5013, GR ENG",2016SP,P*
1000018,MATH 5513,LINEAR ALGEBRA,2016SP,A
1000018,MECH 5813,SS: FINITE DIFFERENCE METHODS,2016SP,A
1000019,ENGR 5003,FOUN OF TECH ETHICS & VALUES,2016SP,A
1000019,ENGR 5103,INNOVATION AND INVENTION,2016FA,CIP
1000019,ENGR 5113,RANDOM VARIABLES & STOCHASTIC,2016FA,CIP
1000019,ENGR 5203,SYSTEMS ENGINEERING,2016FA,CIP
1000019,ENGR 5213,TOOLS OF OPERATIONS RESEARCH,2016FA,CIP
1000019,ENGR 5223,SYSTEMS ENGINEERING MANAGEMENT,2016FA,CIP
1000019,ENGR 5903,ENGINEERING PRACTICUM,2016FA,CIP
1000019,ENGR 5913,"LEVELING FOR ENGR-5013, GR ENG",2016SP,P*
1000020,CMSC 5003,FDNT OF TECH ETHICS & VALUES,2015FA,A
1000020,CMSC 5223,COMPUTER SIMULATION,2016SP,A
1000020,CMSC 5343,ALGORITHM ANALYSIS,2016FA,CIP
1000020,CMSC 5423,COMPUTER GRAPHICS,2015FA,A
1000020,CMSC 5523,INFORMATION SYSTEMS SECURITY,2016FA,CIP
1000020,CMSC 5613,OBJECT ORIENTED SOFTWARE ENGR,2016FA,CIP
1000020,CMSC 5713,ARTIFICIAL INTELLIGENCE,2016SP,A
1000020,CMSC 5723,MACHINE LEARNING,2016FA,CIP
1000021,CENG 5013,HDL DESIGN,2015FA,A
1000021,CENG 5033,SOFTWARE SYSTEMS ENGINEERING,2016FA,CIP
1000021,CENG 5623,SOFTWARE ENGR/ TRUST SOFTWARE,2016SP,I
1000021,ENGR 5203,SYSTEMS ENGINEERING,2016SU,CIP
1000021,ENGR 5223,SYSTEMS ENGINEERING MANAGEMENT,2016FA,CIP
1000021,ENGR 5323,FAIL ANLYS ENG SYSTEMS,2016FA,CIP
1000023,CMSC 5003,FDNT OF TECH ETHICS & VALUES,2015FA,A
1000023,CMSC 5223,COMPUTER SIMULATION,2016SP,A
1000023,CMSC 5343,ALGORITHM ANALYSIS,2016FA,CIP
1000023,CMSC 5613,OBJECT ORIENTED SOFTWARE ENGR,2016FA,CIP
1000023,CMSC 5623,SOFTWARE ENGR FOR TRUSTWORTHY,2016SP,A
1000023,CMSC 5713,ARTIFICIAL INTELLIGENCE,2016SP,A
1000024,CMSC 5003,FDNT OF TECH ETHICS & VALUES,2015FA,A
1000024,CMSC 5223,COMPUTER SIMULATION,2016SP,A
1000024,CMSC 5343,ALGORITHM ANALYSIS,2016FA,CIP
